         # x	           y	           z	          vx	          vy	          vz
  -2.3748760	  -6.8145287	  -0.0050574	   0.0007494	   0.0036452	   0.0000017
  -2.3579678	  -6.7338435	  -0.0050177	   0.0007723	   0.0036164	   0.0000018
  -2.3405520	  -6.6538082	  -0.0049762	   0.0007950	   0.0035867	   0.0000019
  -2.3226351	  -6.5744418	  -0.0049329	   0.0008174	   0.0035562	   0.0000020
  -2.3042233	  -6.4957632	  -0.0048879	   0.0008396	   0.0035248	   0.0000021
  -2.2853234	  -6.4177910	  -0.0048411	   0.0008614	   0.0034926	   0.0000021
  -2.2659420	  -6.3405435	  -0.0047925	   0.0008829	   0.0034596	   0.0000022
  -2.2460862	  -6.2640389	  -0.0047423	   0.0009041	   0.0034257	   0.0000023
  -2.2257630	  -6.1882950	  -0.0046903	   0.0009250	   0.0033911	   0.0000024
  -2.2257630	  -6.1882950	  -0.0046903	   0.0009355	   0.0033819	   0.0000037
  -2.2047496	  -6.1135385	  -0.0046065	   0.0009557	   0.0033461	   0.0000038
  -2.1832914	  -6.0395860	  -0.0045210	   0.0009755	   0.0033095	   0.0000039
  -2.1613961	  -5.9664543	  -0.0044339	   0.0009950	   0.0032722	   0.0000040
  -2.1390715	  -5.8941599	  -0.0043452	   0.0010141	   0.0032342	   0.0000040
  -2.1163257	  -5.8227187	  -0.0042549	   0.0010329	   0.0031954	   0.0000041
  -2.0931668	  -5.7521466	  -0.0041631	   0.0010513	   0.0031560	   0.0000042
  -2.0696030	  -5.6824590	  -0.0040698	   0.0010693	   0.0031158	   0.0000042
  -2.0456430	  -5.6136712	  -0.0039751	   0.0010870	   0.0030750	   0.0000043
  -2.0212951	  -5.5457980	  -0.0038789	   0.0011042	   0.0030335	   0.0000044
  -2.0212951	  -5.5457980	  -0.0038789	   0.0009826	   0.0030312	   0.0000057
  -1.9992733	  -5.4788543	  -0.0037522	   0.0009994	   0.0029937	   0.0000057
  -1.9768822	  -5.4127515	  -0.0036241	   0.0010158	   0.0029555	   0.0000058
  -1.9541299	  -5.3475034	  -0.0034947	   0.0010319	   0.0029167	   0.0000059
  -1.9310247	  -5.2831234	  -0.0033640	   0.0010476	   0.0028774	   0.0000059
  -1.9075747	  -5.2196249	  -0.0032322	   0.0010629	   0.0028374	   0.0000060
  -1.8837884	  -5.1570206	  -0.0030992	   0.0010778	   0.0027969	   0.0000060
  -1.8596742	  -5.0953232	  -0.0029651	   0.0010924	   0.0027558	   0.0000061
  -1.8352410	  -5.0345449	  -0.0028299	   0.0011065	   0.0027142	   0.0000061
  -1.8104973	  -4.9746977	  -0.0026937	   0.0011203	   0.0026720	   0.0000062
  -1.8104973	  -4.9746977	  -0.0026937	   0.0008667	   0.0026991	   0.0000054
  -1.7910766	  -4.9150837	  -0.0025726	   0.0008811	   0.0026660	   0.0000055
  -1.7713386	  -4.8562111	  -0.0024507	   0.0008952	   0.0026324	   0.0000055
  -1.7512902	  -4.7980918	  -0.0023278	   0.0009091	   0.0025982	   0.0000055
  -1.7309387	  -4.7407373	  -0.0022042	   0.0009225	   0.0025636	   0.0000056
  -1.7102914	  -4.6841590	  -0.0020797	   0.0009357	   0.0025284	   0.0000056
  -1.6893556	  -4.6283680	  -0.0019545	   0.0009485	   0.0024927	   0.0000057
  -1.6681389	  -4.5733750	  -0.0018286	   0.0009610	   0.0024566	   0.0000057
  -1.6466488	  -4.5191906	  -0.0017020	   0.0009731	   0.0024200	   0.0000057
  -1.6248931	  -4.4658249	  -0.0015748	   0.0009849	   0.0023829	   0.0000057
  -1.6248931	  -4.4658249	  -0.0015748	   0.0007813	   0.0024357	   0.0000049
  -1.6073806	  -4.4120289	  -0.0014651	   0.0007948	   0.0024059	   0.0000049
  -1.5895721	  -4.3589017	  -0.0013549	   0.0008079	   0.0023755	   0.0000050
  -1.5714739	  -4.3064542	  -0.0012442	   0.0008208	   0.0023447	   0.0000050
  -1.5530927	  -4.2546974	  -0.0011330	   0.0008334	   0.0023134	   0.0000050
  -1.5344349	  -4.2036418	  -0.0010215	   0.0008457	   0.0022816	   0.0000050
  -1.5155072	  -4.1532978	  -0.0009096	   0.0008577	   0.0022493	   0.0000050
  -1.4963165	  -4.1036755	  -0.0007973	   0.0008694	   0.0022166	   0.0000051
  -1.4768696	  -4.0547846	  -0.0006848	   0.0008808	   0.0021835	   0.0000051
  -1.4571735	  -4.0066349	  -0.0005720	   0.0008918	   0.0021499	   0.0000051
  -1.4571735	  -4.0066349	  -0.0005720	   0.0007055	   0.0022241	   0.0000043
  -1.4413438	  -3.9575090	  -0.0004765	   0.0007191	   0.0021971	   0.0000043
  -1.4252151	  -3.9089883	  -0.0003809	   0.0007324	   0.0021697	   0.0000043
  -1.4087934	  -3.8610837	  -0.0002851	   0.0007455	   0.0021417	   0.0000043
  -1.3920844	  -3.8138065	  -0.0001893	   0.0007583	   0.0021132	   0.0000043
  -1.3750941	  -3.7671672	  -0.0000934	   0.0007708	   0.0020843	   0.0000043
  -1.3578287	  -3.7211764	   0.0000026	   0.0007830	   0.0020548	   0.0000043
  -1.3402943	  -3.6758445	   0.0000986	   0.0007950	   0.0020250	   0.0000043
  -1.3224973	  -3.6311816	   0.0001945	   0.0008067	   0.0019946	   0.0000043
  -1.3044439	  -3.5871973	   0.0002903	   0.0008181	   0.0019639	   0.0000043
  -1.3044439	  -3.5871973	   0.0002903	   0.0006417	   0.0020540	   0.0000038
  -1.2900222	  -3.5418251	   0.0003737	   0.0006562	   0.0020294	   0.0000037
  -1.2752800	  -3.4970051	   0.0004569	   0.0006705	   0.0020043	   0.0000037
  -1.2602226	  -3.4527492	   0.0005399	   0.0006846	   0.0019786	   0.0000037
  -1.2448553	  -3.4090693	   0.0006227	   0.0006984	   0.0019525	   0.0000037
  -1.2291838	  -3.3659771	   0.0007053	   0.0007120	   0.0019258	   0.0000037
  -1.2132136	  -3.3234839	   0.0007877	   0.0007253	   0.0018985	   0.0000037
  -1.1969505	  -3.2816010	   0.0008697	   0.0007383	   0.0018708	   0.0000037
  -1.1804002	  -3.2403394	   0.0009515	   0.0007511	   0.0018426	   0.0000037
  -1.1635687	  -3.1997097	   0.0010329	   0.0007637	   0.0018140	   0.0000037
  -1.1635687	  -3.1997097	   0.0010329	   0.0005876	   0.0019167	   0.0000032
  -1.1503298	  -3.1573658	   0.0011049	   0.0006038	   0.0018941	   0.0000032
  -1.1367340	  -3.1155300	   0.0011765	   0.0006198	   0.0018710	   0.0000032
  -1.1227862	  -3.0742157	   0.0012477	   0.0006355	   0.0018472	   0.0000032
  -1.1084914	  -3.0334360	   0.0013184	   0.0006510	   0.0018229	   0.0000032
  -1.0938548	  -2.9932041	   0.0013887	   0.0006663	   0.0017979	   0.0000032
  -1.0788815	  -2.9535328	   0.0014585	   0.0006813	   0.0017724	   0.0000031
  -1.0635770	  -2.9144347	   0.0015277	   0.0006961	   0.0017463	   0.0000031
  -1.0479467	  -2.8759223	   0.0015964	   0.0007106	   0.0017197	   0.0000031
  -1.0319962	  -2.8380078	   0.0016645	   0.0007249	   0.0016925	   0.0000031
  -1.0319962	  -2.8380078	   0.0016645	   0.0005407	   0.0018061	   0.0000024
  -1.0197768	  -2.7981021	   0.0017186	   0.0005590	   0.0017853	   0.0000024
  -1.0071516	  -2.7586669	   0.0017721	   0.0005772	   0.0017638	   0.0000024
  -0.9941254	  -2.7197172	   0.0018249	   0.0005951	   0.0017416	   0.0000024
  -0.9807027	  -2.6812683	   0.0018771	   0.0006129	   0.0017187	   0.0000023
  -0.9668884	  -2.6433351	   0.0019286	   0.0006304	   0.0016952	   0.0000023
  -0.9526874	  -2.6059322	   0.0019794	   0.0006477	   0.0016710	   0.0000023
