 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0050066	  -0.0005069	  -0.0000663	  -0.0001238	   0.0005260	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0036341	   0.0033110	  -0.0714948
   0.0055342	  -0.0001983	  -0.0005881	  -0.0001319	   0.0006345	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0016842	   0.0013980	  -0.0501265
   0.0065245	   0.0001549	  -0.0001492	  -0.0001364	   0.0002547	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0045174	   0.0044374	  -0.0848202
   0.0044621	   0.0001935	  -0.0007545	   0.0000423	   0.0007800	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0030357	   0.0018695	  -0.0668843
   0.0046353	   0.0002467	  -0.0004510	  -0.0000317	   0.0005150	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0027651	   0.0025995	  -0.0548636
   0.0073161	   0.0002864	  -0.0006285	  -0.0000264	   0.0006912	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0005853	   0.0005682	  -0.0496471
   0.0063795	   0.0001580	  -0.0006630	  -0.0000411	   0.0006828	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0050119	   0.0048198	  -0.0938174
   0.0048024	  -0.0004571	  -0.0004510	  -0.0000721	   0.0006462	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0007755	   0.0005483	  -0.0326454
   0.0073540	   0.0003237	  -0.0001751	  -0.0000975	   0.0003807	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0008198	   0.0007202	  -0.0512283
   0.0068177	   0.0003407	  -0.0003215	   0.0000041	   0.0004684	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0059764	   0.0057909	  -0.1081307
   0.0054527	   0.0001105	  -0.0004512	  -0.0001632	   0.0004924	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0035565	   0.0026194	  -0.0766023
   0.0072955	   0.0003870	  -0.0007769	  -0.0000126	   0.0008680	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0057995	   0.0053034	  -0.1153736
   0.0061054	   0.0000581	  -0.0001624	  -0.0000136	   0.0001730	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0020522	   0.0016082	  -0.0595334
   0.0043458	   0.0000386	  -0.0000143	   0.0000588	   0.0000718	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0015199	   0.0009464	  -0.0380787
   0.0040913	   0.0000659	  -0.0007683	  -0.0000539	   0.0007730	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0013050	   0.0009639	  -0.0321867
   0.0080640	   0.0002374	   0.0000198	  -0.0000381	   0.0002412	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0016738	   0.0016738	  -0.0654983
   0.0047687	   0.0000997	  -0.0004117	  -0.0000206	   0.0004241	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0023828	   0.0020194	  -0.0535114
