         # x	           y	           z	          vx	          vy	          vz
  -2.3045650	  -6.6676782	  -0.2036198	   0.0007899	   0.0035230	   0.0001356
  -2.2867705	  -6.5897251	  -0.2005710	   0.0008116	   0.0034927	   0.0001388
  -2.2684961	  -6.5124549	  -0.1974503	   0.0008331	   0.0034615	   0.0001420
  -2.2497482	  -6.4358856	  -0.1942588	   0.0008542	   0.0034296	   0.0001452
  -2.2497482	  -6.4358856	  -0.1942588	   0.0008151	   0.0034108	   0.0001286
  -2.2314114	  -6.3604355	  -0.1913653	   0.0008352	   0.0033796	   0.0001318
  -2.2126302	  -6.2856882	  -0.1884032	   0.0008550	   0.0033476	   0.0001348
  -2.1934115	  -6.2116602	  -0.1853736	   0.0008746	   0.0033148	   0.0001378
  -2.1737621	  -6.1383681	  -0.1822775	   0.0008938	   0.0032813	   0.0001408
  -2.1536890	  -6.0658281	  -0.1791161	   0.0009127	   0.0032471	   0.0001437
  -2.1331995	  -5.9940559	  -0.1758906	   0.0009313	   0.0032122	   0.0001466
  -2.1123009	  -5.9230674	  -0.1726019	   0.0009495	   0.0031766	   0.0001494
  -2.0910007	  -5.8528778	  -0.1692514	   0.0009674	   0.0031403	   0.0001521
  -2.0693065	  -5.7835022	  -0.1658403	   0.0009850	   0.0031034	   0.0001548
  -2.0693065	  -5.7835022	  -0.1658403	   0.0009051	   0.0031010	   0.0001354
  -2.0490022	  -5.7149739	  -0.1628022	   0.0009222	   0.0030664	   0.0001380
  -2.0283209	  -5.6472215	  -0.1597057	   0.0009390	   0.0030312	   0.0001406
  -2.0072701	  -5.5802592	  -0.1565519	   0.0009555	   0.0029953	   0.0001432
  -1.9858573	  -5.5141009	  -0.1533421	   0.0009716	   0.0029588	   0.0001457
  -1.9640901	  -5.4487600	  -0.1500773	   0.0009874	   0.0029217	   0.0001481
  -1.9419765	  -5.3842500	  -0.1467587	   0.0010028	   0.0028841	   0.0001505
  -1.9195242	  -5.3205836	  -0.1433875	   0.0010178	   0.0028458	   0.0001529
  -1.8967414	  -5.2577737	  -0.1399649	   0.0010325	   0.0028070	   0.0001552
  -1.8736362	  -5.1958325	  -0.1364922	   0.0010469	   0.0027676	   0.0001574
  -1.8736362	  -5.1958325	  -0.1364922	   0.0009163	   0.0027911	   0.0001352
  -1.8531077	  -5.1341953	  -0.1334632	   0.0009312	   0.0027561	   0.0001374
