     # training step	         mean reward	          std reward	     mean ep. length
            72576000	            -0.04946	             0.00898	                  30
            72960000	            -0.05739	             0.00834	                  30
            73344000	            -0.05381	             0.00882	                  30
            73728000	            -0.04538	             0.00920	                  30
            74112000	            -0.05197	             0.00894	                  30
            74496000	            -0.05215	             0.00819	                  30
            74880000	            -0.05981	             0.01487	                  30
            75264000	            -0.06247	             0.00994	                  30
            75648000	            -0.05411	             0.00864	                  30
            76032000	            -0.05336	             0.00786	                  30
            76416000	            -0.05265	             0.00820	                  30
            76800000	            -0.05008	             0.00825	                  30
            77184000	            -0.04705	             0.00825	                  30
            77568000	            -0.05089	             0.00963	                  30
            77952000	            -0.05317	             0.00798	                  30
            78336000	            -0.04366	             0.00732	                  30
            78720000	            -0.04823	             0.00817	                  30
            79104000	            -0.05382	             0.00852	                  30
            79488000	            -0.05389	             0.00903	                  30
            79872000	            -0.04539	             0.00880	                  30
            80256000	            -0.04449	             0.00814	                  30
            80640000	            -0.05561	             0.00976	                  30
            81024000	            -0.05077	             0.00914	                  30
            81408000	            -0.04680	             0.00855	                  30
            81792000	            -0.04575	             0.00978	                  30
            82176000	            -0.04723	             0.00895	                  30
            82560000	            -0.04399	             0.00927	                  30
            82944000	            -0.04907	             0.00952	                  30
            83328000	            -0.04434	             0.00878	                  30
            83712000	            -0.05051	             0.00934	                  30
            84096000	            -0.04906	             0.00852	                  30
            84480000	            -0.04686	             0.00809	                  30
            84864000	            -0.04266	             0.00867	                  30
            85248000	            -0.05309	             0.00795	                  30
            85632000	            -0.05026	             0.00819	                  30
            86016000	            -0.04296	             0.00824	                  30
            86400000	            -0.04429	             0.00782	                  30
            86784000	            -0.04313	             0.00857	                  30
            87168000	            -0.04518	             0.00862	                  30
            87552000	            -0.04356	             0.00856	                  30
            87936000	            -0.04552	             0.00835	                  30
            88320000	            -0.04238	             0.00924	                  30
            88704000	            -0.04430	             0.00892	                  30
            89088000	            -0.04371	             0.00820	                  30
            89472000	            -0.04358	             0.00911	                  30
            89856000	            -0.04266	             0.00793	                  30
            90240000	            -0.04110	             0.00804	                  30
            90624000	            -0.04157	             0.00810	                  30
            91008000	            -0.04384	             0.00894	                  30
            91392000	            -0.04025	             0.00814	                  30
            91776000	            -0.03896	             0.00821	                  30
            92160000	            -0.04227	             0.00879	                  30
            92544000	            -0.04014	             0.00862	                  30
            92928000	            -0.03982	             0.00813	                  30
            93312000	            -0.03948	             0.00870	                  30
            93696000	            -0.04036	             0.00849	                  30
            94080000	            -0.03975	             0.00779	                  30
            94464000	            -0.03960	             0.00828	                  30
            94848000	            -0.03859	             0.00848	                  30
            95232000	            -0.03983	             0.00872	                  30
            95616000	            -0.04011	             0.00836	                  30
            96000000	            -0.03815	             0.00725	                  30
