 # Dv [km/s]	     dx [km]	     dy [km]	     dz [km]	     dr [km]	  dvx [km/s]	  dvy [km/s]	  dvz [km/s]	   dv [km/s]	e_los_2 [km]	e_los_inf [km]	      reward
   0.0070679	   0.0002544	   0.0004148	   0.0000986	   0.0004965	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0471190
   0.0047970	  -0.0003494	  -0.0001413	   0.0003425	   0.0005092	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0319891
   0.0052162	   0.0002840	  -0.0001426	   0.0001925	   0.0003715	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0347747
   0.0081248	   0.0003751	  -0.0002395	   0.0001052	   0.0004574	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0541654
   0.0069396	   0.0000998	  -0.0002021	  -0.0003135	   0.0003861	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0462641
   0.0050969	  -0.0004820	  -0.0001705	   0.0002866	   0.0005861	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0340654
   0.0081432	   0.0004326	   0.0003032	   0.0001984	   0.0005643	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0543521
   0.0072370	   0.0003801	  -0.0000648	   0.0001292	   0.0004066	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0482468
   0.0059023	   0.0002290	  -0.0002530	  -0.0000695	   0.0003483	   0.0000000	  -0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0393488
   0.0078342	   0.0003433	  -0.0003728	  -0.0000057	   0.0005069	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0522348
   0.0064963	   0.0000295	   0.0000894	   0.0001486	   0.0001759	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0433089
   0.0046375	  -0.0001272	   0.0004936	   0.0002128	   0.0005524	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0309687
   0.0043984	  -0.0000011	  -0.0002415	   0.0003513	   0.0004263	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0293225
   0.0089044	   0.0003083	   0.0006969	  -0.0001149	   0.0007707	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0596332
   0.0050398	  -0.0000114	  -0.0001879	   0.0000981	   0.0002123	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0335984
   0.0064043	   0.0001059	   0.0001886	   0.0002048	   0.0002979	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	   0.0000000	  -0.0426955
